29	1	1
43	2	1
80	3	1
20	4	1
90	4	1
31	5	1
108	5	1
120	5	1
127	5	1
17	6	1
18	6	1
22	6	1
30	6	1
65	6	1
77	6	1
99	6	1
105	6	1
110	6	1
143	6	1
144	6	1
32	7	1
82	8	1
18	9	1
19	9	1
51	9	1
60	9	1
73	9	1
78	9	1
82	9	1
87	9	1
94	9	1
110	9	1
117	9	1
16	10	1
20	10	1
32	10	1
51	10	1
62	10	1
102	10	1
110	10	1
123	10	1
126	10	1
137	10	1
13	11	1
88	11	1
121	12	1
147	12	1
11	13	1
148	13	1
15	14	1
37	14	1
14	15	1
28	15	1
38	15	1
67	15	1
82	15	1
10	16	1
21	16	1
6	17	1
74	17	1
99	17	1
6	18	1
9	18	1
73	18	1
82	18	1
99	18	1
9	19	1
4	20	1
10	20	1
23	20	1
34	20	1
92	20	1
96	20	1
109	20	1
122	20	1
16	21	1
49	21	1
59	21	1
95	21	1
107	21	1
125	21	1
6	22	1
111	22	1
20	23	1
143	24	1
26	25	1
27	25	1
111	25	1
25	26	1
25	27	1
73	27	1
82	27	1
113	27	1
15	28	1
114	28	1
135	28	1
1	29	1
53	29	1
57	29	1
58	29	1
73	29	1
93	29	1
116	29	1
132	29	1
141	29	1
142	29	1
6	30	1
99	30	1
5	31	1
7	32	1
10	32	1
56	32	1
99	33	1
20	34	1
36	35	1
40	35	1
139	35	1
35	36	1
14	37	1
15	38	1
73	38	1
67	39	1
139	39	1
35	40	1
110	40	1
111	40	1
129	40	1
130	40	1
94	41	1
56	42	1
2	43	1
104	43	1
73	44	1
46	45	1
45	46	1
47	46	1
134	46	1
146	46	1
46	47	1
51	48	1
54	48	1
72	48	1
104	48	1
127	48	1
135	48	1
21	49	1
99	49	1
74	50	1
99	50	1
9	51	1
10	51	1
48	51	1
82	52	1
29	53	1
84	53	1
48	54	1
73	54	1
77	55	1
78	55	1
32	56	1
42	56	1
29	57	1
29	58	1
21	59	1
99	59	1
9	60	1
73	60	1
132	61	1
10	62	1
138	62	1
99	63	1
99	64	1
6	65	1
99	66	1
135	66	1
15	67	1
39	67	1
131	67	1
80	68	1
99	69	1
143	70	1
139	71	1
48	72	1
9	73	1
18	73	1
27	73	1
29	73	1
38	73	1
44	73	1
54	73	1
60	73	1
74	73	1
78	73	1
82	73	1
83	73	1
87	73	1
103	73	1
106	73	1
110	73	1
119	73	1
150	73	1
17	74	1
50	74	1
73	74	1
75	74	1
95	74	1
103	74	1
107	74	1
126	74	1
74	75	1
99	75	1
77	76	1
78	76	1
6	77	1
55	77	1
76	77	1
99	77	1
9	78	1
55	78	1
73	78	1
76	78	1
82	78	1
99	78	1
99	79	1
3	80	1
68	80	1
104	80	1
82	81	1
8	82	1
9	82	1
15	82	1
18	82	1
27	82	1
52	82	1
73	82	1
78	82	1
81	82	1
83	82	1
87	82	1
110	82	1
114	82	1
126	82	1
73	83	1
82	83	1
53	84	1
104	85	1
126	85	1
145	86	1
9	87	1
73	87	1
82	87	1
99	87	1
11	88	1
150	88	1
135	89	1
4	90	1
99	91	1
20	92	1
29	93	1
9	94	1
41	94	1
115	94	1
118	94	1
21	95	1
74	95	1
20	96	1
97	96	1
98	96	1
96	97	1
96	98	1
6	99	1
17	99	1
18	99	1
30	99	1
33	99	1
49	99	1
50	99	1
59	99	1
63	99	1
64	99	1
66	99	1
69	99	1
75	99	1
77	99	1
78	99	1
79	99	1
87	99	1
91	99	1
101	99	1
105	99	1
110	99	1
112	99	1
124	99	1
125	99	1
126	99	1
143	100	1
99	101	1
10	102	1
73	103	1
74	103	1
43	104	1
48	104	1
80	104	1
85	104	1
6	105	1
99	105	1
73	106	1
21	107	1
74	107	1
5	108	1
20	109	1
6	110	1
9	110	1
10	110	1
40	110	1
73	110	1
82	110	1
99	110	1
111	110	1
22	111	1
25	111	1
40	111	1
110	111	1
131	111	1
99	112	1
27	113	1
28	114	1
82	114	1
94	115	1
29	116	1
9	117	1
94	118	1
73	119	1
5	120	1
12	121	1
149	121	1
20	122	1
10	123	1
99	124	1
21	125	1
99	125	1
10	126	1
74	126	1
82	126	1
85	126	1
99	126	1
5	127	1
48	127	1
129	128	1
40	129	1
128	129	1
131	129	1
40	130	1
67	131	1
111	131	1
129	131	1
29	132	1
61	132	1
139	133	1
46	134	1
139	134	1
28	135	1
48	135	1
66	135	1
89	135	1
136	135	1
140	135	1
145	135	1
135	136	1
10	137	1
62	138	1
35	139	1
39	139	1
71	139	1
133	139	1
134	139	1
135	140	1
29	141	1
29	142	1
6	143	1
24	143	1
70	143	1
100	143	1
6	144	1
86	145	1
135	145	1
46	146	1
12	147	1
148	147	1
13	148	1
147	148	1
121	149	1
150	149	1
73	150	1
88	150	1
149	150	1
